Date,Time,Home,Away,λ Home,λ Away,Top Score,Probability,2nd Score,3rd Score
6/11/2026,20:00,Mexico,South Africa,1.699,0.506,1 - 0,18.74%,2 - 0,0 - 0
6/12/2026,3:00,South Korea,Czech Republic,1.057,1.032,1 - 1,13.51%,1 - 0,0 - 1
6/12/2026,20:00,Canada,Bosnia and Herzegovina,1.494,0.822,1 - 0,14.74%,1 - 1,2 - 0
6/13/2026,2:00,USA,Paraguay,1.352,0.867,1 - 0,14.69%,1 - 1,0 - 0
6/13/2026,20:00,Qatar,Switzerland,0.513,2.294,0 - 2,15.88%,0 - 1,0 - 3
6/13/2026,23:00,Brazil,Morocco,1.669,0.726,1 - 0,15.21%,2 - 0,1 - 1
6/14/2026,2:00,Haiti,Scotland,0.732,1.981,0 - 1,13.14%,0 - 2,1 - 1
6/14/2026,5:00,Australia,Turkey,0.808,1.504,0 - 1,14.90%,1 - 1,0 - 2
6/14/2026,18:00,Germany,Curacao,3.528,0.223,3 - 0,17.20%,4 - 0,2 - 0
6/14/2026,21:00,Netherlands,Japan,1.494,1.014,1 - 1,12.34%,1 - 0,2 - 1
6/15/2026,0:00,Ivory Coast,Ecuador,0.742,1.024,0 - 1,17.51%,0 - 0,1 - 1
6/15/2026,3:00,Sweden,Tunisia,1.341,0.816,1 - 0,15.51%,1 - 1,0 - 0
6/15/2026,17:00,Spain,Cape Verde,3.07,0.41,3 - 0,14.85%,2 - 0,4 - 0
6/15/2026,20:00,Belgium,Egypt,1.697,0.856,1 - 0,13.21%,1 - 1,2 - 0
6/15/2026,23:00,Saudi Arabia,Uruguay,0.677,1.855,0 - 1,14.75%,0 - 2,1 - 1
6/16/2026,2:00,Iran,New Zealand,1.4,0.826,1 - 0,15.12%,1 - 1,0 - 0
6/16/2026,20:00,France,Senegal,1.894,0.653,1 - 0,14.84%,2 - 0,1 - 1
6/16/2026,23:00,Iraq,Norway,0.579,2.528,0 - 2,14.29%,0 - 3,0 - 1
6/17/2026,2:00,Argentina,Algeria,1.923,0.601,1 - 0,15.41%,2 - 0,3 - 0
6/17/2026,5:00,Austria,Jordan,2.2,0.658,2 - 0,13.89%,1 - 0,3 - 0
6/17/2026,18:00,Portugal,DR Congo,2.402,0.613,2 - 0,14.15%,1 - 0,3 - 0
6/17/2026,21:00,England,Croatia,1.576,0.809,1 - 0,14.51%,1 - 1,2 - 0
6/17/2026,23:00,Uzbekistan,Colombia,0.613,1.888,0 - 1,15.48%,0 - 2,1 - 1
6/18/2026,0:00,Ghana,Panama,1.494,0.99,1 - 0,12.46%,1 - 1,2 - 0
6/18/2026,17:00,Czech Republic,South Africa,1.232,0.792,1 - 0,16.28%,0 - 0,1 - 1
6/18/2026,20:00,Switzerland,Bosnia and Herzegovina,1.711,0.75,1 - 0,14.60%,2 - 0,1 - 1
6/18/2026,23:00,Canada,Qatar,1.935,0.491,1 - 0,17.10%,2 - 0,3 - 0
6/19/2026,2:00,Mexico,South Korea,1.406,0.781,1 - 0,15.78%,1 - 1,0 - 0
6/19/2026,20:00,USA,Australia,1.642,0.862,1 - 0,13.43%,1 - 1,2 - 0
6/19/2026,23:00,Scotland,Morocco,0.811,1.239,0 - 1,15.94%,1 - 1,0 - 0
6/20/2026,1:30,Brazil,Haiti,3.448,0.324,3 - 0,15.72%,2 - 0,4 - 0
6/20/2026,4:00,Turkey,Paraguay,1.178,0.913,1 - 0,14.56%,1 - 1,0 - 0
6/20/2026,18:00,Netherlands,Sweden,1.623,0.783,1 - 0,14.63%,2 - 0,1 - 1
6/20/2026,21:00,Germany,Ivory Coast,1.88,0.832,1 - 0,12.48%,2 - 0,1 - 1
6/21/2026,1:00,Ecuador,Curacao,2.294,0.603,2 - 0,14.52%,1 - 0,3 - 0
6/21/2026,5:00,Tunisia,Japan,0.748,1.391,0 - 1,16.38%,1 - 1,0 - 0
6/21/2026,17:00,Spain,Saudi Arabia,2.973,0.483,2 - 0,13.94%,3 - 0,4 - 0
6/21/2026,20:00,Belgium,Iran,1.943,0.681,1 - 0,14.10%,2 - 0,1 - 1
6/21/2026,23:00,Uruguay,Cape Verde,1.847,0.633,1 - 0,15.47%,2 - 0,1 - 1
6/22/2026,2:00,New Zealand,Egypt,0.73,1.521,0 - 1,16.01%,0 - 2,1 - 1
6/22/2026,18:00,Argentina,Austria,1.589,0.74,1 - 0,15.48%,2 - 0,1 - 1
6/22/2026,22:00,France,Iraq,3.072,0.474,3 - 0,13.93%,2 - 0,4 - 0
6/23/2026,1:00,Norway,Senegal,1.333,0.962,1 - 0,13.43%,1 - 1,0 - 0
6/23/2026,4:00,Jordan,Algeria,0.766,1.631,0 - 1,14.85%,0 - 2,1 - 1
6/23/2026,18:00,Portugal,Uzbekistan,2.392,0.565,2 - 0,14.87%,1 - 0,3 - 0
6/23/2026,21:00,England,Ghana,1.995,0.499,1 - 0,16.47%,2 - 0,3 - 0
6/24/2026,0:00,Panama,Croatia,0.64,1.703,0 - 1,16.36%,0 - 2,1 - 1
6/24/2026,3:00,Colombia,DR Congo,1.733,0.592,1 - 0,16.95%,2 - 0,1 - 1
6/24/2026,3:00,Switzerland,Canada,1.297,0.885,1 - 0,14.63%,1 - 1,0 - 0
6/24/2026,20:00,Bosnia and Herzegovina,Qatar,1.669,0.726,1 - 0,15.21%,2 - 0,1 - 1
