Match ID,Group,Date,Time,Home,Away,λ Home,λ Away,ρ,Top Score,Probability,2nd Score,3rd Score
1,A,6/11/2026,20:00,Mexico,South Africa,1.926,0.647,-0.1159,2 - 0,14.16%,1 - 0,1 - 1
2,A,6/12/2026,3:00,South Korea,Czech Republic,1.057,1.032,-0.0,1 - 1,13.51%,1 - 0,0 - 1
3,B,6/12/2026,20:00,Canada,Bosnia and Herzegovina,1.712,0.993,-0.1035,1 - 1,12.54%,1 - 0,2 - 0
4,D,6/13/2026,2:00,USA,Paraguay,1.565,1.045,-0.1074,1 - 1,13.32%,1 - 0,2 - 1
5,B,6/13/2026,20:00,Qatar,Switzerland,0.616,2.482,-0.0727,0 - 2,13.90%,0 - 3,0 - 1
6,C,6/13/2026,23:00,Brazil,Morocco,1.669,0.726,-0.0,1 - 0,15.22%,2 - 0,1 - 1
7,C,6/14/2026,2:00,Haiti,Scotland,0.882,2.207,-0.0891,0 - 2,11.09%,1 - 2,1 - 1
8,D,6/14/2026,5:00,Australia,Turkey,0.932,1.664,-0.077,1 - 1,12.45%,0 - 1,0 - 2
9,E,6/14/2026,18:00,Germany,Curacao,4.733,0.778,-0.2414,4 - 0,8.46%,5 - 0,3 - 0
10,F,6/14/2026,21:00,Netherlands,Japan,1.664,1.158,-0.0765,1 - 1,12.34%,2 - 1,1 - 0
11,E,6/15/2026,0:00,Ivory Coast,Ecuador,0.923,1.228,-0.1411,1 - 1,15.05%,0 - 0,0 - 1
12,F,6/15/2026,3:00,Sweden,Tunisia,1.555,0.991,-0.1114,1 - 1,13.43%,1 - 0,2 - 0
13,H,6/15/2026,17:00,Spain,Cape Verde,3.306,0.532,-0.0667,3 - 0,12.96%,2 - 0,4 - 0
14,G,6/15/2026,20:00,Belgium,Egypt,1.697,0.856,-0.0,1 - 0,13.21%,1 - 1,2 - 0
15,H,6/15/2026,23:00,Saudi Arabia,Uruguay,0.883,2.165,-0.1299,0 - 2,11.12%,1 - 1,1 - 2
16,G,6/16/2026,2:00,Iran,New Zealand,1.614,0.998,-0.1069,1 - 1,13.09%,1 - 0,2 - 0
17,I,6/16/2026,20:00,France,Senegal,2.133,0.807,-0.1002,2 - 0,12.02%,1 - 0,1 - 1
18,I,6/16/2026,23:00,Iraq,Norway,0.67,2.691,-0.0563,0 - 2,12.57%,0 - 3,0 - 1
19,J,6/17/2026,2:00,Argentina,Algeria,2.157,0.746,-0.0994,2 - 0,12.76%,1 - 0,1 - 1
20,J,6/17/2026,5:00,Austria,Jordan,2.199,0.658,-0.0,2 - 0,13.89%,1 - 0,3 - 0
