Group,Team,1st %,2nd %,3rd(Q) %,3rd(out) %,4th %,Qualify %,R32 %,R16 %,QF %,SF %,3rd Place %,Final %,Champion %
A,Mexico,54.6,25.1,11.7,2.5,6.2,91.4,91.4,58.8,25.7,8.7,2.5,2.6,0.4
A,Czech Republic,20.8,29.2,20.2,8.2,21.5,70.3,70.3,30.1,8.6,1.6,0.2,0.4,0.0
A,South Korea,17.8,29.8,20.9,9.1,22.4,68.5,68.5,32.1,10.0,2.1,0.4,0.4,0.1
A,South Africa,6.9,15.8,17.0,10.3,50.0,39.7,39.7,7.3,0.7,0.0,0.0,0.0,0.0
B,Switzerland,53.1,29.9,10.7,2.2,4.2,93.7,93.7,64.1,28.1,10.2,2.9,3.9,1.6
B,Canada,33.8,37.7,17.5,5.1,5.9,89.0,89.0,48.9,15.9,3.8,0.6,1.2,0.1
B,Bosnia and Herzegovina,11.2,25.4,30.9,12.8,19.8,67.5,67.5,16.7,2.5,0.1,0.1,0.0,0.0
B,Qatar,1.9,7.0,10.3,10.7,70.2,19.2,19.2,2.4,0.2,0.1,0.0,0.0,0.0
C,Brazil,72.2,21.9,5.1,0.4,0.4,99.2,99.2,69.9,43.2,24.6,8.3,10.5,4.6
C,Morocco,17.8,46.8,22.2,6.2,7.0,86.8,86.8,38.1,17.6,5.0,1.2,1.1,0.3
C,Scotland,9.6,27.3,33.3,14.6,15.2,70.2,70.2,26.0,8.4,2.1,0.4,0.5,0.1
C,Haiti,0.5,4.1,6.8,11.2,77.3,11.4,11.4,1.9,0.2,0.0,0.0,0.0,0.0
D,USA,37.6,29.0,17.1,4.7,11.6,83.7,83.7,36.5,9.8,1.7,0.2,0.4,0.1
D,Turkey,35.1,29.6,16.2,5.9,13.2,81.0,81.0,54.6,26.8,9.8,2.4,4.1,1.4
D,Paraguay,17.5,24.4,21.8,8.3,28.0,63.7,63.7,34.4,12.7,3.3,0.9,0.9,0.3
D,Australia,9.8,17.0,16.7,9.3,47.2,43.5,43.5,19.7,5.9,1.5,0.3,0.3,0.0
E,Germany,67.3,22.6,8.7,0.9,0.6,98.6,98.6,63.5,27.4,14.5,4.7,5.3,1.8
E,Ecuador,18.9,42.9,24.7,7.1,6.5,86.5,86.5,50.0,24.4,12.6,3.6,4.5,1.3
E,Ivory Coast,13.6,31.7,35.4,11.2,8.2,80.7,80.7,20.1,4.6,0.5,0.1,0.0,0.0
