country,elo_points
Algeria,1802.9
Argentina,2052.9
Australia,1742.7
Austria,1872.1
Belgium,1893.4
Bosnia and Herzegovina,1634.1
Brazil,2000.1
Canada,1759.5
Cape Verde,1619.2
Colombia,1940.4
Croatia,1853.6
Curacao,1467.8
Czech Republic,1723.8
DR Congo,1702.5
Ecuador,1833.4
Egypt,1733.4
England,1985.9
France,2054.8
Germany,1948.5
Ghana,1675
Haiti,1543.3
Iran,1705
Iraq,1623.2
Ivory Coast,1749.3
Japan,1837.5
Jordan,1656
Mexico,1832.9
Morocco,1837.5
Netherlands,1911.6
New Zealand,1591.1
Norway,1929.6
Panama,1657.6
Paraguay,1798.7
Portugal,1998.3
Qatar,1467.7
Saudi Arabia,1615
Scotland,1767.1
Senegal,1854.3
South Africa,1611.1
South Korea,1723.2
Spain,2086.7
Sweden,1759.3
Switzerland,1833.7
Tunisia,1685.5
Turkey,1860.2
USA,1845.3
Uruguay,1875.2
Uzbekistan,1701.8
