Group,Home,Away,Elo Home,Elo Away,dr,BK Home %,BK Draw %,BK Away %,Elo Home %,Elo Draw %,Elo Away %,Δ Home %,Δ Draw %,Δ Away %
A,Mexico,South Africa,1875,1518,357,66.7,22.7,10.5,82.3,12.8,5.0,15.5,-10.0,-5.6
A,South Korea,Czech Republic,1758,1740,18,35.6,30.0,34.3,38.6,27.9,33.5,3.0,-2.1,-0.9
B,Canada,Bosnia and Herzegovina,1788,1595,193,53.1,26.3,20.7,64.1,22.3,13.6,11.0,-4.0,-7.0
D,USA,Paraguay,1726,1833,-107,48.1,27.9,24.0,22.0,26.1,51.9,-26.1,-1.8,27.9
B,Qatar,Switzerland,1421,1891,-470,6.7,15.5,77.7,3.3,7.2,89.6,-3.4,-8.4,11.8
C,Brazil,Morocco,1991,1827,164,60.0,24.0,16.0,60.1,23.7,16.2,0.1,-0.3,0.2
C,Haiti,Scotland,1548,1782,-234,12.9,20.4,66.7,10.6,20.0,69.4,-2.3,-0.4,2.6
D,Australia,Turkey,1777,1911,-134,20.1,26.1,53.7,19.1,25.1,55.9,-1.1,-1.1,2.1
E,Germany,Curacao,1932,1434,498,93.8,4.7,1.5,90.0,6.7,3.3,-3.8,2.0,1.8
F,Netherlands,Japan,1948,1906,42,48.3,26.0,25.7,42.2,27.7,30.1,-6.1,1.7,4.5
E,Ivory Coast,Ecuador,1695,1938,-243,25.9,32.8,41.3,10.1,19.5,70.5,-15.8,-13.3,29.1
F,Sweden,Tunisia,1712,1628,84,49.1,28.1,22.8,48.5,26.8,24.7,-0.6,-1.4,2.0
H,Spain,Cape Verde,2157,1578,579,88.7,8.5,2.9,90.0,6.7,3.3,1.3,-1.8,0.4
G,Belgium,Egypt,1893,1696,197,57.3,23.9,18.8,64.6,22.0,13.3,7.3,-1.9,-5.4
H,Saudi Arabia,Uruguay,1569,1892,-323,12.9,21.5,65.5,6.1,14.7,79.2,-6.8,-6.8,13.6
G,Iran,New Zealand,1772,1562,210,50.5,27.4,22.1,66.3,21.3,12.3,15.9,-6.1,-9.8
I,France,Senegal,2063,1867,196,67.0,21.0,12.1,64.5,22.1,13.4,-2.5,1.1,1.3
I,Iraq,Norway,1618,1914,-296,6.5,13.9,79.6,7.2,16.3,76.4,0.8,2.4,-3.2
J,Argentina,Algeria,2114,1760,354,69.0,20.3,10.7,82.0,12.9,5.1,13.0,-7.4,-5.7
J,Austria,Jordan,1830,1680,150,72.7,17.6,9.7,58.2,24.4,17.5,-14.6,6.8,7.8
K,Portugal,DR Congo,1986,1661,325,77.1,15.3,7.6,79.3,14.6,6.0,2.3,-0.7,-1.6
L,England,Croatia,2021,1911,110,55.5,25.3,19.2,52.3,26.0,21.7,-3.2,0.7,2.5
